Company,Company Score,Job Title,Location,Date,Salary
219,0.6315789473684208,165,141,24d,324
220,0.5263157894736841,464,13,6d,352
197,0.10526315789473695,294,76,5d,449
94,0.21052631578947367,171,243,30d+,11
327,0.42105263157894757,205,63,10d,586
260,0.5263157894736841,302,254,6d,315
478,0.368421052631579,46,243,3d,48
587,0.4736842105263157,55,234,30d+,39
403,0.21052631578947367,235,210,3d,474
358,0.26315789473684204,505,293,6d,129
18,0.5789473684210527,261,293,6d,67
146,0.5263157894736841,435,110,19d,130
293,0.21052631578947367,294,91,3d,127
396,0.5263157894736841,371,145,9d,441
454,0.10526315789473695,215,11,13d,418
534,0.368421052631579,294,29,10d,519
173,0.736842105263158,454,259,5d,535
518,0.6842105263157894,342,247,10d,253
352,0.5789473684210527,408,253,18d,136
213,0.42105263157894757,496,110,4d,588
293,0.368421052631579,362,240,2d,381
141,0.3157894736842106,374,132,1d,163
448,0.736842105263158,301,11,10d,335
425,0.052631578947368585,294,161,15d,157
189,0.7894736842105265,229,259,2d,227
230,0.9473684210526319,511,30,11d,374
480,0.736842105263158,407,275,26d,417
594,0.5263157894736841,69,213,23d,78
244,0.4736842105263157,362,293,30d+,624
562,0.26315789473684204,168,285,30d+,408
233,0.26315789473684204,18,304,30d+,542
192,0.6842105263157894,215,74,5d,557
110,0.42105263157894757,294,191,4d,122
299,0.42105263157894757,87,243,3d,147
460,0.3157894736842106,273,130,30d+,291
526,0.6842105263157894,294,73,30d+,584
206,0.3157894736842106,126,68,2d,257
540,0.3157894736842106,53,141,30d+,40
24,0.26315789473684204,480,204,30d+,68
385,0.4736842105263157,282,265,5d,420
363,0.4736842105263157,215,216,5d,279
116,0.42105263157894757,294,37,30d+,152
295,0.42105263157894757,294,38,30d+,459
348,0.6315789473684208,363,8,30d+,602
225,0.5789473684210527,234,243,16d,160
276,0.6842105263157894,458,12,2d,474
290,0.6315789473684208,456,12,24h,122
194,0.21052631578947367,215,36,6d,280
518,0.6842105263157894,214,254,11d,402
107,0.6315789473684208,210,6,6d,61
492,0.052631578947368585,490,110,4d,38
121,0.8421052631578947,110,119,17d,538
277,0.5263157894736841,421,265,3d,196
219,0.7894736842105265,267,72,3d,223
422,0.6315789473684208,185,67,30d+,619
496,0.4736842105263157,294,76,30d+,125
25,0.26315789473684204,272,113,30d+,525
290,0.42105263157894757,252,293,5d,157
216,0.26315789473684204,283,254,30d+,36
386,0.8947368421052628,3,8,18d,171
517,0.4736842105263157,294,28,3d,337
347,0.0,251,253,6d,468
601,0.736842105263158,452,208,18d,46
597,0.5789473684210527,328,240,3d,276
387,0.6842105263157894,43,8,15d,554
97,0.42105263157894757,175,265,30d+,433
264,0.42105263157894757,395,104,30d+,79
231,0.6842105263157894,21,16,5d,528
170,0.736842105263158,215,309,11d,141
148,0.7894736842105265,393,78,30d+,489
73,0.6315789473684208,215,5,1d,409
89,0.5263157894736841,484,243,2d,31
508,0.7894736842105265,215,212,6d,67
605,0.5263157894736841,439,155,3d,560
530,0.42105263157894757,298,293,9d,353
188,0.3157894736842106,226,202,3d,382
107,0.052631578947368585,101,254,10d,362
608,0.42105263157894757,66,225,5d,386
431,0.5263157894736841,282,119,30d+,216
88,0.6842105263157894,211,253,19d,13
461,0.3157894736842106,106,20,13d,287
372,0.7894736842105265,7,168,4d,164
14,0.26315789473684204,325,159,30d+,101
